Designator,Mid X,Mid Y,Rotation,Layer
BT1,0.0,15.0,0.0,bottom
BT2,0.0,0.0,180.0,bottom
BT3,0.0,-15.0,0.0,bottom
C1,-13.429819,17.04,270.0,top
C2,13.930181,11.07,270.0,top
C3,11.300362,15.82326,0.0,top
R1,-13.459819,20.09,270.0,top
R2,-8.659819,20.99,90.0,top
R3,4.250181,6.78,180.0,top
R8,0.500181,4.15,180.0,top
R9,3.500181,4.15,0.0,top
U1,0.0,22.1,0.0,top
U2,2.0,-22.3,270.0,top
U3,11.440181,12.95576,90.0,top
s1,-9.634819,16.725,0.0,top
s3,5.075,10.71,90.0,top
